,correlation
f107_lag_6m,0.43159782811263786
sn_lag_6m,0.429634619152121
f107_lag_3m,0.37961460448488665
sn_lag_3m,0.37501510858899256
f107_lag_1m,0.3361146967453426
sn_lag_1m,0.33145159411678515
