,correlation
f107_lag_6m,0.39042621259188515
sn_lag_6m,0.3869327193527299
f107_lag_3m,0.33087345327298956
sn_lag_3m,0.33042806641194017
sn_lag_1m,0.29993068783244825
f107_lag_1m,0.29444931519960316
