,sn,fluxadjflux,kp,ap
sn,1.0,0.9620301981395926,0.3239583971451034,0.2956858244202861
fluxadjflux,0.9620301981395926,1.0,0.3396093586209277,0.3083932339378577
kp,0.3239583971451034,0.3396093586209277,1.0,0.9439836923389303
ap,0.2956858244202861,0.3083932339378577,0.9439836923389303,1.0
