date,sn,sn_std,n_obs,fluxadjflux,fluxursi,kp,ap,sn_lag_1m,sn_lag_3m,sn_lag_6m,f107_lag_1m,f107_lag_3m,f107_lag_6m
2011-09-01,125.73684210526316,8.610526315789473,349,136.67777777777778,123.01444444444445,1.9305541666666666,12.266666666666667,68.76923076923077,47.857142857142854,75.9375,104.15698924731183,98.88444444444444,122.90645161290323
2011-10-01,120.10526315789474,7.726315789473685,305,136.5236559139785,122.87204301075269,1.3803709677419354,7.362903225806452,125.73684210526316,70.05882352941177,76.0,136.67777777777778,97.42903225806452,113.61222222222223
2011-11-01,139.0625,9.5625,240,150.2288888888889,135.20555555555555,1.1124958333333335,4.929166666666666,120.10526315789474,68.76923076923077,55.4,136.5236559139785,104.15698924731183,97.78709677419356
2011-12-01,107.89473684210526,7.726315789473685,221,137.06881720430107,123.36129032258064,0.9381653225806451,3.9274193548387095,139.0625,125.73684210526316,47.857142857142854,150.2288888888889,136.67777777777778,98.88444444444444
2012-01-01,89.0,6.5,204,130.48555555555555,117.43888888888888,1.4892379032258065,6.951612903225806,107.89473684210526,120.10526315789474,70.05882352941177,137.06881720430107,136.5236559139785,97.42903225806452
2012-02-01,44.666666666666664,4.191666666666666,146,104.28735632183908,93.85402298850576,1.810331896551724,8.806034482758621,89.0,139.0625,68.76923076923077,130.48555555555555,150.2288888888889,104.15698924731183
2012-03-01,88.66666666666667,6.308333333333334,212,114.52688172043011,103.07311827956988,2.4287862903225808,16.080645161290324,44.666666666666664,107.89473684210526,125.73684210526316,104.28735632183908,137.06881720430107,136.67777777777778
2012-04-01,84.3529411764706,6.68235294117647,253,114.13777777777777,102.72333333333333,1.8805333333333334,10.0875,88.66666666666667,89.0,120.10526315789474,114.52688172043011,130.48555555555555,136.5236559139785
2012-05-01,95.29411764705883,6.7,307,124.12258064516129,111.70645161290322,1.5551048387096773,7.181451612903226,84.3529411764706,44.666666666666664,139.0625,114.13777777777777,104.28735632183908,150.2288888888889
2012-06-01,96.4,5.6850000000000005,342,124.19333333333334,111.77555555555554,1.7930583333333334,10.079166666666667,95.29411764705883,88.66666666666667,107.89473684210526,124.12258064516129,114.52688172043011,137.06881720430107
