date,fluxobsflux,fluxadjflux,fluxursi
2021-07-27,80.44999999999999,83.0,74.65
2021-07-28,78.60000000000001,81.06666666666666,72.96666666666665
2021-07-29,76.16666666666667,78.5,70.63333333333334
2021-07-30,75.16666666666667,77.46666666666665,69.73333333333333
2021-07-31,75.23333333333333,77.53333333333335,69.76666666666667
2021-08-01,75.0,77.3,69.53333333333333
2021-08-02,75.43333333333334,77.66666666666667,69.89999999999999
2021-08-03,75.2,77.36666666666666,69.63333333333334
2021-08-04,72.06666666666666,74.16666666666667,66.73333333333333
2021-08-05,73.73333333333333,75.86666666666666,68.26666666666667
2021-08-06,74.33333333333333,76.43333333333334,68.8
2021-08-07,73.73333333333333,75.83333333333333,68.23333333333333
2021-08-08,73.33333333333333,75.36666666666666,67.86666666666666
2021-08-09,73.03333333333333,75.06666666666666,67.53333333333333
2021-08-10,72.83333333333333,74.8,67.36666666666666
2021-08-11,73.93333333333334,75.93333333333334,68.3
2021-08-12,73.56666666666666,75.56666666666666,68.0
2021-08-13,73.06666666666666,75.0,67.5
2021-08-14,73.66666666666667,75.56666666666666,68.03333333333333
2021-08-15,74.73333333333333,76.63333333333334,68.96666666666665
2021-08-16,74.3,76.16666666666667,68.53333333333335
2021-08-17,73.26666666666667,75.10000000000001,67.60000000000001
2021-08-18,74.76666666666667,76.56666666666666,68.93333333333334
2021-08-19,74.96666666666667,76.76666666666667,69.06666666666666
2021-08-20,77.86666666666667,79.66666666666667,71.7
2021-08-21,77.2,79.0,71.10000000000001
2021-08-22,77.60000000000001,79.33333333333333,71.39999999999999
2021-08-23,78.13333333333333,79.89999999999999,71.89999999999999
2021-08-24,80.83333333333333,82.60000000000001,74.33333333333333
2021-08-25,83.46666666666665,85.26666666666667,76.73333333333333
2021-08-26,89.06666666666666,90.89999999999999,81.83333333333333
2021-08-27,90.5,92.33333333333333,83.10000000000001
2021-08-28,91.43333333333334,93.26666666666667,83.96666666666665
2021-08-29,90.03333333333335,91.8,82.60000000000001
2021-08-30,90.2,91.96666666666665,82.73333333333333
2021-08-31,84.53333333333335,86.13333333333333,77.5
2021-09-01,84.39999999999999,85.93333333333334,77.36666666666666
2021-09-02,85.53333333333335,87.03333333333335,78.33333333333333
2021-09-03,84.13333333333333,85.63333333333333,77.03333333333335
2021-09-04,86.83333333333333,88.3,79.46666666666667
2021-09-05,92.53333333333335,94.06666666666666,84.66666666666667
2021-09-06,99.96666666666665,101.53333333333335,91.39999999999999
2021-09-07,101.03333333333335,102.63333333333333,92.36666666666667
2021-09-08,101.2,102.7,92.43333333333334
2021-09-09,100.46666666666665,101.89999999999999,91.7
2021-09-10,96.46666666666665,97.8,88.0
2021-09-11,92.66666666666667,93.86666666666667,84.46666666666667
2021-09-12,87.43333333333334,88.53333333333335,79.63333333333334
2021-09-13,83.26666666666667,84.26666666666667,75.86666666666667
2021-09-14,78.2,79.10000000000001,71.16666666666667
2021-09-15,75.43333333333334,76.3,68.66666666666667
2021-09-16,73.16666666666667,73.93333333333334,66.53333333333333
2021-09-17,73.26666666666667,74.03333333333333,66.63333333333334
2021-09-18,73.96666666666665,74.66666666666667,67.2
2021-09-19,75.2,75.86666666666667,68.26666666666667
2021-09-20,79.86666666666667,80.56666666666666,72.5
2021-09-21,85.60000000000001,86.26666666666667,77.63333333333333
2021-09-22,88.23333333333333,88.89999999999999,80.0
2021-09-23,90.13333333333333,90.66666666666667,81.60000000000001
2021-09-24,88.16666666666667,88.73333333333333,79.83333333333333
2021-09-25,88.23333333333333,88.73333333333333,79.86666666666667
2021-09-26,87.10000000000001,87.5,78.73333333333333
2021-09-27,85.56666666666666,85.89999999999999,77.33333333333333
2021-09-28,89.4,89.75,80.75
2021-09-29,100.76666666666667,101.13333333333333,91.0
2021-09-30,94.53333333333335,94.76666666666667,85.33333333333333
2021-10-01,90.8,91.0,81.89999999999999
2021-10-02,88.3,88.39999999999999,79.56666666666666
2021-10-03,86.73333333333333,86.83333333333333,78.13333333333333
2021-10-04,83.10000000000001,83.16666666666667,74.83333333333333
2021-10-05,84.03333333333335,84.03333333333335,75.60000000000001
2021-10-06,85.3,85.23333333333333,76.7
2021-10-07,85.16666666666667,85.06666666666666,76.6
2021-10-08,89.06666666666666,88.86666666666667,80.0
2021-10-09,86.03333333333335,85.83333333333333,77.23333333333333
2021-10-10,85.89999999999999,85.63333333333333,77.06666666666666
