date,kp,ap
1932-01-01,2.0577782258064516,10.94758064516129
1932-02-01,2.1565991379310345,11.577586206896552
1932-03-01,2.748633064516129,18.221774193548388
1932-04-01,2.8444625,17.283333333333335
1932-05-01,2.346774193548387,14.60483870967742
1932-06-01,1.4472041666666666,6.629166666666666
1932-07-01,1.4502822580645163,6.854838709677419
1932-08-01,1.9583306451612903,11.689516129032258
1932-09-01,2.1694541666666667,12.15
1932-10-01,1.939548387096774,10.15725806451613
1932-11-01,1.7277916666666668,8.2875
1932-12-01,1.8211975806451612,9.07258064516129
1933-01-01,1.8817298387096772,9.745967741935484
1933-02-01,1.9270625,11.401785714285714
1933-03-01,2.1491814516129035,12.391129032258064
1933-04-01,2.315279166666667,12.4375
1933-05-01,1.9489516129032256,11.721774193548388
1933-06-01,1.6902833333333334,8.416666666666666
1933-07-01,1.5725887096774194,7.471774193548387
1933-08-01,1.7016129032258065,9.137096774193548
1933-09-01,2.1638958333333336,11.695833333333333
1933-10-01,1.9354959677419354,10.165322580645162
1933-11-01,1.8791791666666666,9.270833333333334
1933-12-01,1.4623629032258065,7.201612903225806
1934-01-01,1.305108870967742,5.903225806451613
1934-02-01,1.6071339285714286,8.0
1934-03-01,2.006725806451613,10.923387096774194
1934-04-01,1.299975,6.133333333333334
1934-05-01,1.2862500000000001,6.693548387096774
1934-06-01,1.122175,5.329166666666667
1934-07-01,1.2069395161290324,5.850806451612903
1934-08-01,1.850802419354839,9.07258064516129
1934-09-01,1.8527708333333335,10.1625
1934-10-01,1.2459475806451612,5.866935483870968
1934-11-01,1.0069041666666665,4.7625
1934-12-01,1.5161250000000002,8.274193548387096
1935-01-01,1.7298306451612904,8.758064516129032
1935-02-01,1.9091964285714287,9.790178571428571
1935-03-01,1.852157258064516,9.891129032258064
1935-04-01,1.370825,8.054166666666667
1935-05-01,1.174709677419355,6.165322580645161
1935-06-01,1.6735916666666666,9.425
1935-07-01,1.3709193548387097,6.657258064516129
1935-08-01,1.2284758064516128,5.407258064516129
1935-09-01,2.0722125,12.958333333333334
1935-10-01,2.081975806451613,12.366935483870968
1935-11-01,1.611075,8.233333333333333
1935-12-01,1.8319677419354838,9.366935483870968
1936-01-01,1.834641129032258,8.931451612903226
1936-02-01,2.064637931034483,10.89655172413793
1936-03-01,1.744608870967742,8.923387096774194
1936-04-01,2.2861208333333334,14.608333333333333
1936-05-01,1.9005483870967743,10.245967741935484
1936-06-01,1.9916583333333333,11.841666666666667
1936-07-01,1.8790040322580646,10.544354838709678
1936-08-01,1.1303508064516128,5.004032258064516
1936-09-01,1.0985624999999999,4.808333333333334
1936-10-01,1.5053790322580645,8.661290322580646
1936-11-01,1.6707958333333333,9.583333333333334
1936-12-01,1.137092741935484,5.395161290322581
1937-01-01,1.4583225806451612,7.133064516129032
1937-02-01,2.388370535714286,12.772321428571429
1937-03-01,1.971774193548387,11.89516129032258
1937-04-01,2.3458083333333333,20.0875
1937-05-01,2.1505483870967743,12.89516129032258
1937-06-01,2.2499875,11.9
1937-07-01,2.1733709677419353,12.22983870967742
1937-08-01,1.6491733870967742,10.25
1937-09-01,1.7638541666666667,9.166666666666666
1937-10-01,2.783576612903226,19.971774193548388
1937-11-01,2.1110875,11.566666666666666
1937-12-01,1.8494556451612902,9.737903225806452
1938-01-01,3.1344032258064516,28.471774193548388
1938-02-01,2.5312410714285716,15.959821428571429
1938-03-01,2.0483467741935484,13.209677419354838
1938-04-01,2.5388499999999996,18.3875
1938-05-01,2.3561895161290325,17.758064516129032
1938-06-01,1.7472166666666666,8.979166666666666
1938-07-01,2.0577701612903225,13.201612903225806
1938-08-01,2.0053669354838712,12.42741935483871
1938-09-01,2.3777749999999997,16.9125
1938-10-01,2.452967741935484,16.483870967741936
1938-11-01,1.9722208333333335,10.0375
1938-12-01,2.0389596774193546,11.326612903225806
1939-01-01,1.6263266129032259,7.137096774193548
1939-02-01,2.386901785714286,15.232142857142858
1939-03-01,2.9368104838709677,19.072580645161292
1939-04-01,3.2194291666666666,27.966666666666665
1939-05-01,3.0645080645161293,21.338709677419356
1939-06-01,2.595829166666667,15.075
1939-07-01,2.6518548387096774,18.971774193548388
1939-08-01,2.107516129032258,18.911290322580644
1939-09-01,2.236083333333333,13.175
1939-10-01,2.743310483870968,21.641129032258064
1939-11-01,1.7694416666666666,8.666666666666666
1939-12-01,2.075274193548387,11.008064516129032
1940-01-01,2.4798306451612904,15.036290322580646
1940-02-01,2.324715517241379,12.34051724137931
1940-03-01,2.774153225806452,36.46370967741935
1940-04-01,2.3472250000000003,17.641666666666666
1940-05-01,2.2150443548387098,13.459677419354838
1940-06-01,2.3374916666666667,16.416666666666668
1940-07-01,2.1330604838709677,11.774193548387096
1940-08-01,2.0268266129032257,10.72983870967742
1940-09-01,2.2013708333333333,13.954166666666667
1940-10-01,2.2876250000000002,14.225806451612904
1940-11-01,2.5069250000000003,15.95
1940-12-01,2.560483870967742,14.580645161290322
1941-01-01,2.48654435483871,14.076612903225806
1941-02-01,2.90178125,17.821428571428573
1941-03-01,3.4327862903225808,32.806451612903224
1941-04-01,2.363870833333334,14.929166666666667
1941-05-01,2.1223024193548388,10.689516129032258
1941-06-01,1.9958125,10.866666666666667
1941-07-01,2.2836129032258063,19.366935483870968
1941-08-01,2.327959677419355,16.27016129032258
1941-09-01,2.6610958333333334,26.604166666666668
1941-10-01,1.9905967741935484,11.326612903225806
1941-11-01,2.43335,16.0375
1941-12-01,1.9973387096774196,11.358870967741936
1942-01-01,1.8683024193548388,9.03225806451613
